Column1;Column10;POR
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;Você precisa de mais sacrifícios para essa criatura.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;Para jogar a carta [c:bR][v:0][c:], você precisa sacrificar [c:bR][v:1] criaturas diferentes[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;O sangue das criaturas para sacrificar é insuficiente para a carta [c:bR][v:0][c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;Não é possível extrair sangue da carta [v:0].
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;Você não pode... sacrificar essa carta.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;Não vale a pena o sacrifício.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;A carta [v:0] não tem sangue.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;Não é o suficiente.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;
SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;Os ossos da idosa estalam conforme ela se aproxima.
SPECIAL_NODES_WOODCARVERINTRO_832_F;;
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;As mãos trêmulas dela dispõem cautelosamente as oferendas na sua frente.
SPECIAL_NODES_WOODCARVERINTRO_121_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;A decrépita [c:bR]Cinzeladora[c:] aparece diante de você.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;Os movimentos dela são vigorosos, apesar da idade avançada.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;Você encontra a velha [c:bR]Cinzeladora[c:]. Ela te olha com um olhar intenso.
