Column1;Column10;CH S
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;你没有足够祭品来使用这个造物。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;要打那张[c:bR][v:0][c:]牌，你需要献祭[c:bR][v:1]只不同造物[c:]。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;可献祭造物不足[c:bR][v:0][c:]所需血量。
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;[v:0]身上可榨不出血来。
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;你……没法献祭那张卡牌。
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;这份献祭诚意不足。
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;[v:0]不会流血。
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;那个不成。
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;
SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;那老妇人向你靠过来，浑身骨头像呻吟般咯吱作响。
SPECIAL_NODES_WOODCARVERINTRO_832_F;;
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;她用颤颤巍巍的双手把祭品放在你面前。
SPECIAL_NODES_WOODCARVERINTRO_121_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;年老体衰的[c:bR]木雕师[c:]出现在你面前。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;尽管她年事已高，一举一动却很有精神。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;你遇到了年老的[c:bR]木雕师[c:]，她目不转睛地盯着你。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;她沉默良久，拿出了自己的雕像。
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;[t:9]啊？[t:3][w:0.2]喂，[w:0.2]停[w:0.2]下！
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]哇哦……[w:0.1]真[w:0.1]的[w:0.1]吗？
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]噢，[w:0.2]得[w:0.2]了[w:0.2]吧！
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;又来了……
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_F;;
TALKING_CARDS_STOATINTRO_856_M;You didn't sacrifice me?;你居然没把我拿去献祭？
TALKING_CARDS_STOATINTRO_856_F;;
TALKING_CARDS_STOATINTRO_511_M;How kind.;你人真好。
TALKING_CARDS_STOATINTRO_511_F;;
TALKING_CARDS_STOATINTRO_153_M;You sacrificed me.[w:0.2];你把我给献祭了。[w:0.2]
TALKING_CARDS_STOATINTRO_153_F;;
TALKING_CARDS_STOATINTRO_269_M;[t:2][shake:1]While[w:0.2] I[w:0.2] was[w:0.2][shake:1] sleeping.[w:0.5];[t:2][shake:1]还是[w:0.2]在[w:0.2]我[w:0.2][shake:1]睡觉的时候。[w:0.5]
TALKING_CARDS_STOATINTRO_269_F;;
TALKING_CARDS_STOATINTRO_140_M;[anim:sly]It was the right play.[w:0.2];[anim:sly]这么出牌倒也合理。[w:0.2]
TALKING_CARDS_STOATINTRO_140_F;;
TALKING_CARDS_STOATINTRO_279_M;I get it.[w:0.2];我懂的。[w:0.2]
TALKING_CARDS_STOATINTRO_279_F;;
TALKING_CARDS_STOATINTRO_193_M;[anim:]Maybe...;[anim:]或许……
TALKING_CARDS_STOATINTRO_193_F;;
TALKING_CARDS_STOATINTRO_094_M;...you'll help me?[leshy:Take your turn.][w:2];……回头你可以帮帮我？[leshy:轮到你了。][w:2]
TALKING_CARDS_STOATINTRO_094_F;;
TALKING_CARDS_STOATINTRO_448_M;Play along for now.;再陪他玩会儿吧。
TALKING_CARDS_STOATINTRO_448_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_M;What an honor.;荣幸之至。
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_157_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_M;Yeah?[w:0.2][anim:sly] Alright.[w:0.2][anim:];对吧？[w:0.2][anim:sly]好。[w:0.2][anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#1_518_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_M;Fine choice.;选得不错。
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#2_290_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_M;Another sigil...[w:0.2];又出现了一个印记……[w:0.2]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_756_F;;
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_M;[anim:sly]Hooray...[anim:];[anim:sly]哦耶……[anim:]
TALKING_STOAT_DIALOGUE_STOATHOSTCHOSEN_REPEAT_#3_261_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_M;Hey.;嘿。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_100_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_M;Pick me.;选我选我。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_707_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_M;I'll go.;我去吧。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#1_780_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_M;It's me.;让我来。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#2_822_F;;
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_M;Your choice.;反正是你选的。
TALKING_STOAT_DIALOGUE_STOATSELECTIONCHOICEPOSITIVE_REPEAT_#3_501_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_M;You are lacking the Bones for that creature.;你的骨头不足以召唤此造物。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_187_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_M;You'll need more Bones to play that [c:bR][v:0][c:].;想要使用[c:bR][v:0][c:]还需更多骨头。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#1_914_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_M;You don't have [c:bR][v:1][c:] Bones yet. Lose some creatures and you might...;骨头数量不足[c:bR][v:1][c:]根。失去几只造物的话你没准就……
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#2_219_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_M;That creature demands more Bones.;该造物还需要更多骨头。
GAMEPLAY_HINTS_HINT_NOTENOUGHBONES_REPEAT_#3_780_F;;
TUTORIAL_TUTORIALBONESTOKEN_797_M;From the death of your creature you've gained a [c:bR]bone.[c:];造物阵亡，你获得一根[c:bR]骨头。[c:]
TUTORIAL_TUTORIALBONESTOKEN_797_F;;
TUTORIAL_TUTORIALBONESTOKEN_637_M;You will not lose this until it is spent... or the battle ends.;骨头只能被消耗掉……或在战斗结束后才会消失。
TUTORIAL_TUTORIALBONESTOKEN_637_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_M;You've gained a [c:bR]bone.[c:];你已获得一根[c:bR]骨头。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_472_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_M;It will stay there until you spend it... or the battle ends.;骨头会一直存在，直到你把它们消耗掉……或战斗结束。
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#1_268_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_M;That's a [c:bR]bone.[c:];那是一根[c:bR]骨头。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#2_975_F;;
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_M;Yes... That's a [c:bR]bone.[c:];没错……那是一根[c:bR]骨头。[c:]
TUTORIAL_TUTORIALBONESTOKEN_REPEAT_#3_546_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_M;[t:3]While I was asleep?;[t:3]趁我睡着的时候？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_207_F;;
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_M;[t:3]Again?;[t:3]又来？
TALKING_STOAT_DIALOGUE_STOATDIEBONESTUTORIAL_475_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_M;Not now. Draw a card first.;现在不行。先抽一张牌。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_551_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_M;Slow down. You will first need to draw a card.;慢慢来。你得先抽一张牌。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#1_596_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_M;One thing at a time. Draw first.;按步就班，先抽牌。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#2_747_F;;
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_M;You may use that... after you have drawn your card for the turn.;想用的话……得先抽完当前回合的牌。
GAMEPLAY_HINTS_HINT_CONSUMABLEDURINGDRAWPHASE_REPEAT_#3_918_F;;
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_M;You cannot draw a card on your first turn.;第一回合不能抽牌。
GAMEPLAY_HINTS_HINT_DRAWDURINGFIRSTTURN_758_F;;
