Column1;Column10;KOR
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;그 피조물을 소환하기엔 희생이 부족하다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;그 [c:bR][v:0][c:] 카드를 내려면 [c:bR][v:1]의 다른 피조물이 필요하다[c:]. 
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;[c:bR][v:0][c:]는 네가 가진 피조물보다 많은 피를 요구한다.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;[v:0]에서 피를 가져올 수는 없다.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;그건... 희생할 수 없다.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;가치가 부족한 희생양이다.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;[v:0]은(는) 피를 흘리지 않는다.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;그걸론 충분치 못하다.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;
SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;고대의 여인은 뼈를 삐걱거리고 신음하며 접근했다.
SPECIAL_NODES_WOODCARVERINTRO_832_F;;
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;부드럽게 떨리는 손으로, 그녀는 너의 앞에 제물을 놓았다.
SPECIAL_NODES_WOODCARVERINTRO_121_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;노쇠한 [c:bR]목각사[c:]가 너의 앞에 나타났다.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;상당한 고령임에도 불구하고, 그녀는 활기차게 움직였다. 
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
