Column1;Column10;RU
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;Этой карте нужно больше жертв.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;Для этой карты тебе нужны [c:bR]жертвы[c:]. Принеси [c:bR][v:1][c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;Этой карте нужно больше крови.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;Ты не можешь получить кровь от этой карты.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;Ты... не можешь принести эту карту в жертву.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;Это недостойная жертва.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;У этой карты нет крови.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;Этого недостаточно.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;
SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;Навстречу тебе шла пожилая женщина, у которой трещали все кости.
SPECIAL_NODES_WOODCARVERINTRO_832_F;;
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;Слегка дрожащими руками она разложила перед тобой свои фигурки.
SPECIAL_NODES_WOODCARVERINTRO_121_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;Перед тобой возникла костлявая [c:bR]резчица по дереву[c:].
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;Несмотря на свой возраст, двигалась она резво.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_M;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;Ты подошёл к старой [c:bR]резчице по дереву[c:]. Она пристально на тебя смотрела.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_566_F;You came upon the old [c:bR]woodcarver[c:] who fixed her intense gaze upon you.;Ты подошла к старой [c:bR]резчице по дереву[c:]. Она пристально на тебя смотрела.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_M;After an overlong moment of silence, she moved to offer her carvings.;После затянувшейся паузы она начала раскладывать свои фигурки.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#2_101_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_M;[t:9]Huh?[t:3][w:0.2] Hey[w:0.2] stop!;[t:9]Что?[t:3][w:0.2] Эй,[w:0.2] не надо!
TALKING_STOAT_DIALOGUE_STOATSACRIFICETUTORIAL_397_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_M;[t:0.01]Wow...[w:0.1] Seriously?;[t:0.01]Ты что...[w:0.1] серьёзно?
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_182_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_M;[t:0.01]Oh[w:0.2] come[w:0.2] on!;[t:0.01]Ой,[w:0.2] да[w:0.2] ладно!
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#1_809_F;;
TALKING_STOAT_DIALOGUE_STOATSACRIFICE_REPEAT_#2_852_M;Again...;Опять...
