Column1;Column10;TUR
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_M;You are lacking sacrifices for that creature.;Bu yaratık için yeterince kurbanın yok.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_705_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_M;To play that [c:bR][v:0][c:] you'll need to sacrifice [c:bR][v:1] different creatures[c:].;[c:bR][v:0][c:] kartını oynamak için [c:bR][v:1] farklı yaratık kurban etmelisin[c:].
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#1_699_F;;
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_M;The [c:bR][v:0][c:] demands more blood than you have creatures to sacrifice.;[c:bR][v:0][c:], kurban edebileceğin yaratıklardan daha çok kan talep ediyor.
GAMEPLAY_HINTS_HINT_NOTENOUGHBLOOD_REPEAT_#2_705_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_M;You can't draw blood from a [v:0].;[v:0] kartından kan akıtamazsın.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_859_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_M;You... can't sacrifice that.;Onu... kurban edemezsin.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#1_357_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_M;That isn't a worthy sacrifice.;Bu, layık bir kurban değil.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#2_095_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_M;A [v:0] does not bleed.;[v:0] kanamaz.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#3_170_F;;
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_M;That will not suffice.;Bu, yeterli değil.
GAMEPLAY_HINTS_HINT_CANTSACRIFICETERRAIN_REPEAT_#4_706_F;;
SPECIAL_NODES_WOODCARVERINTRO_832_M;The bones of the ancient woman creaked and groaned as she approached.;Kadim kadının kemikleri, o yaklaştıkça çıtırdıyor ve inliyordu.
SPECIAL_NODES_WOODCARVERINTRO_832_F;;
SPECIAL_NODES_WOODCARVERINTRO_121_M;With gently shaking hands, she placed her offerings before you.;Hafifçe titreyen elleriyle sana ikramlarını sundu.
SPECIAL_NODES_WOODCARVERINTRO_121_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_M;The decrepit [c:bR]woodcarver[c:] appeared before you.;İhtiyar [c:bR]ahşap oyma sanatçısı[c:] karşına çıktı.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_326_F;;
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_M;She moved with a certain vigor in spite of her considerable age.;Yaşına karşın son derece dinçti.
SPECIAL_NODES_WOODCARVERINTRO_REPEAT_#1_915_F;;
